iter	Passed	Remaining
1016	126395	246453
1017	126509	246308
1018	126637	246192
1019	126764	246071
1020	126884	245939
1021	127018	245834
1022	127145	245715
1023	127271	245593
1024	127397	245473
1025	127515	245336
1026	127641	245216
1027	127768	245096
1028	127887	244962
1029	128009	244833
1030	128139	244719
1031	128262	244593
1032	128382	244460
1033	128498	244321
1034	128625	244201
1035	128736	244052
1036	128885	243975
1037	129003	243839
1038	129134	243727
1039	129256	243598
1040	129365	243446
1041	129515	243370
1042	129648	243261
1043	129773	243138
1044	129890	243001
1045	130006	242861
1046	130117	242712
1047	130228	242563
1048	130349	242431
1049	130473	242307
1050	130605	242198
1051	130736	242086
1052	130919	242070
1053	131067	241990
1054	131199	241880
1055	131325	241758
1056	131450	241635
1057	131562	241487
1058	131684	241360
1059	131810	241237
1060	131928	241102
1061	132049	240971
1062	132171	240843
1063	132291	240711
1064	132406	240570
1065	132536	240455
1066	132660	240330
1067	132783	240204
1068	132892	240050
1069	133022	239937
1070	133142	239806
1071	133269	239685
1072	133379	239536
1073	133502	239410
1074	133622	239277
1075	133745	239151
1076	133862	239013
1077	133991	238897
1078	134111	238765
1079	134226	238624
1080	134351	238501
1081	134474	238375
1082	134599	238251
1083	134719	238120
1084	134840	237990
1085	134956	237851
1086	135069	237707
1087	135202	237598
1088	135321	237465
1089	135437	237326
1090	135575	237225
1091	135693	237091
1092	135812	236956
1093	135939	236837
1094	136048	236687
1095	136172	236562
1096	136291	236429
1097	136406	236289
1098	136524	236153
1099	136627	235992
1100	136739	235848
1101	136848	235698
1102	136973	235574
1103	137099	235453
1104	137224	235331
1105	137346	235202
1106	137463	235066
1107	137582	234932
1108	137704	234805
1109	137835	234693
1110	137952	234555
1111	138088	234452
1112	138214	234330
1113	138331	234195
1114	138460	234078
1115	138576	233940
1116	138696	233809
1117	138812	233671
1118	138941	233555
1119	139044	233396
1120	139185	233299
1121	139311	233178
1122	139425	233037
1123	139542	232901
1124	139659	232766
1125	139775	232628
1126	139929	232554
1127	140051	232426
1128	140171	232294
1129	140282	232149
1130	140396	232008
1131	140518	231880
1132	140641	231754
1133	140766	231631
1134	140889	231505
1135	141016	231385
1136	141140	231262
1137	141261	231132
1138	141384	231006
1139	141505	230877
1140	141630	230755
1141	141754	230631
1142	141866	230487
1143	141992	230365
1144	142106	230225
1145	142229	230099
1146	142372	230004
1147	142493	229875
1148	142617	229751
1149	142736	229620
1150	142851	229480
1151	142976	229357
1152	143093	229221
1153	143218	229100
1154	143328	228953
1155	143450	228826
1156	143576	228704
1157	143691	228566
1158	143814	228440
1159	143931	228305
1160	144040	228157
1161	144200	228089
1162	144332	227978
1163	144448	227842
1164	144577	227724
1165	144712	227617
1166	144842	227502
1167	144964	227376
1168	145092	227257
1169	145234	227161
1170	145355	227032
1171	145481	226910
1172	145597	226774
1173	145719	226646
1174	145832	226506
1175	145951	226374
1176	146073	226245
1177	146187	226106
